Store Name,Address,Timings,Phone Number,Latitude,Longitude
 PH SS Mall Prodattur ,"No 7/834, Ground Floor, SSS Mall, YMR Colony, Korrapadu Road, Proddatur - 516360",Open until 11:00 PM,18002022022,14.755611,78.556644
 PH STV Nagar Tirupati ,"19/4/121/C, Ground Floor & 1st Floor, AIR Bypass Road, STV Nagar, Tirupati - 517501",Open until 11:00 PM,18002022022,13.622694,79.424271
 Pizza hut - Tirupathi ,"D No 20/3/35B, Siva Jyoti Nagar, Tirupati - 517501",Open until 11:00 PM,18002022022,13.645894,79.4274201
 PH TGV City Square Mall Kurnool ,"D No 40/37M, Sy 177 & 192, 4A, TGV Mall, River View Colony, Bhagya Nagar, Kurnool - 518004",Open until 11:00 PM,18002022022,15.826952,78.035242
 PH Guru Nanak Colony Vijayawada ,"No 24, Gr Flr, Surya Prakash Square, Guru Nanak Colony, Guru Nanak Colony Road, Vijayawada - 520002",Open until 11:00 PM,18002022022,16.50488355,80.66210415
 PH Eluru Road Vijayawada ,"Machavaram, Eluru Rd, Chuttugunta, Krishna - 520004",Open until 11:00 PM,18002022022,16.51728036,80.64383984
 PH Kanuru Vijayawada ,"Main Road, Machilipatnam Road, Kanuru, Vijayawada - 520007",Open until 11:00 PM,18002022022,16.48251334,80.68914544
 Labbipet ,"39 & 1, SN 3F & 1 & 3, PVP Square Mall, Level 3, MG Road, Labbipet, Vijayawada - 520010",Open until 11:00 PM,18002022022,16.5025591,80.6426114
 PH MG Road Vijayawada ,"Lower Ground Floor, KK Towers, MG Road, Acharya Ranga Nagar, Vijayawada - 520010",Open until 11:00 PM,18002022022,16.4990277,80.65181099
 Bhavnipuram ,"RS No 35/1, Ground Floor, Crombway Road, Vijayawada - 520012",Open until 11:00 PM,18002022022,16.533637,80.597793
 PH Tadepalli Vijayawada ,"Sy No 114/C3, Eswar Elite, NH 16, Service Road, Tadepalli, Guntur - 522501",Open until 11:00 PM,18002022022,16.48216267,80.61879152
 Prakasam ,"119/1A, SN FC1, Ravi Priya Mall, Gr Flr, Guntur Road, Prakasam, Prakasam - 523262",Open until 11:00 PM,18002022022,15.5198422,80.0472141
 PH Mini bypass Nellore ,"Jitendra Towers, Minibypass, Ramamurthy Nagar, Nellore - 524001",Open until 11:00 PM,18002022022,14.44892319,79.98834068
 Ambedkar Ngr ,"No 15 & 23, Gr Flr, MGB Felicity Mall, No FO/4 & FO/5, WN 24, GT Rd, Ambedkar Ngr, Nellore - 524003",Open until 11:00 PM,18002022022,14.432297,79.96707001
 Pizza hut - Nellore ,"Vedayapalem Centre, MGR Kalyana Mandapam, Andhrakesari Nagar, Nellore - 524004",Open until 11:00 PM,18002022022,14.410303,79.955767
 Dwarka Nagar ,"Door No 471023/3, Isnar Khazana Towers, 2nd Lane, Dwarka Nagar, Visakhapatnam - 530003",Open until 11:00 PM,18002022022,17.7264217,83.3052748
 Maddilapalam ,"4th Floor, CMR Central, Resapuvanipalem, Maddilapalam, Visakhapatnam - 530013",Open until 11:00 PM,18002022022,17.7336313,83.3180569
 PH CMR Mall Gajuwaka Vizag ,"CMR Mall, Exhibition Ground, GNT Road, Gajuwaka, Visakhapatnam - 530013",Open until 11:00 PM,18002022022,17.68306173,83.20117477
 PH-MVP Colony ,"Door No 1/83/13, Plot No HIG 2/3, Peda Waltair, MVP Colony, Sector 3, Visakhapatnam - 530017",Open until 11:00 PM,18002022022,17.742297,83.331074
